Address,Quality,Size,Name
0x0000007100000024,U,000316,_init
0x0000007100000160,U,000052,_fini
0x0000007100000194,U,000008,
0x000000710000019c,U,000008,__cxa_atexit
0x00000071000001a4,U,000008,
0x00000071000001ac,U,000004,__nnDetailNintendoSdkRuntimeObjectFileRefer
0x00000071000001b0,U,000004,__nnDetailNintendoSdkRuntimeObjectFile
0x00000071000001b4,U,000120,ActorOption::construct
0x000000710000022c,U,000296,ActorOption::m18
0x0000007100000354,U,000160,ActorOption::m20
0x00000071000003f4,U,000472,
0x00000071000005cc,U,000068,ActorOption::m62
0x0000007100000610,U,000144,
0x00000071000006a0,U,000068,ActorOption::m0
0x00000071000006e4,U,000076,ActorOption::m1
0x0000007100000730,U,000008,ActorOption::m2
0x0000007100000738,U,000092,ActorOption::m3
0x0000007100000794,O,000008,_ZN4ksys3act8BaseProc5init_Ev
0x000000710000079c,U,000004,Actor::preDelete1
0x00000071000007a0,O,000032,_ZN4ksys3act8BaseProc11hasJobType_ENS0_7JobTypeE
0x00000071000007c0,U,000156,ActorOption::m31
0x000000710000085c,U,000012,Actor::m32
0x0000007100000868,U,000008,Actor::m33
0x0000007100000870,U,000004,Actor::m34n
0x0000007100000874,U,000008,Actor::getGuardableAngle
0x000000710000087c,U,000008,Actor::m39
0x0000007100000884,U,000008,Actor::m40
0x000000710000088c,U,000004,Actor::m42n
0x0000007100000890,U,000004,Actor::m43n
0x0000007100000894,U,000008,Actor::m46
0x000000710000089c,U,000008,Actor::m47
0x00000071000008a4,U,000156,ActorOption::m48
0x0000007100000940,U,000008,Actor::m49
0x0000007100000948,U,000008,Actor::m55
0x0000007100000950,U,000004,Actor::m56
0x0000007100000954,U,000012,Actor::m57
0x0000007100000960,U,000004,Actor::m61n
0x0000007100000964,U,000004,Actor::m65n
0x0000007100000968,U,000004,Actor::m66n
0x000000710000096c,U,000008,Actor::m67
0x0000007100000974,U,000004,Actor::m70n
0x0000007100000978,U,000004,Actor::m72n
0x000000710000097c,U,000004,Actor::m77n
0x0000007100000980,U,000004,Actor::m78n
0x0000007100000984,U,000004,Actor::m79n
0x0000007100000988,U,000008,Actor::m80
0x0000007100000990,U,000008,Actor::m82
0x0000007100000998,U,000008,Actor::m83
0x00000071000009a0,U,000008,DynamicActor::getLife
0x00000071000009a8,U,000004,Actor::m93n
0x00000071000009ac,U,000008,Actor::m94
0x00000071000009b4,U,000008,Actor::m95
0x00000071000009bc,U,000016,Actor::m96
0x00000071000009cc,U,000008,Actor::getWeapons
0x00000071000009d4,U,000008,Actor::getArmors
0x00000071000009dc,U,000008,DynamicActor::m100
0x00000071000009e4,U,000008,Actor::m101
0x00000071000009ec,U,000004,Actor::m103n
0x00000071000009f0,U,000008,Actor::m106
0x00000071000009f8,U,000008,Actor::m109
0x0000007100000a00,U,000004,Actor::m114n
0x0000007100000a04,U,000004,Actor::m115n
0x0000007100000a08,U,000004,Actor::m116n
0x0000007100000a0c,U,000004,Actor::m117n
0x0000007100000a10,U,000008,Actor::m119
0x0000007100000a18,U,000008,Actor::m123
0x0000007100000a20,U,000004,Actor::onPlacementObjReset_null
0x0000007100000a24,U,000008,DynamicActor::m125
0x0000007100000a2c,U,000008,DynamicActor::m126
0x0000007100000a34,U,000008,DynamicActor::getDamageMgr
0x0000007100000a3c,U,000008,DynamicActor::m128
0x0000007100000a44,U,000008,Actor::m129
0x0000007100000a4c,U,000008,Actor::getPlayerRideInfo
0x0000007100000a54,U,000008,Actor::m131
0x0000007100000a5c,U,000008,Actor::m132
0x0000007100000a64,U,000008,Actor::m133
0x0000007100000a6c,U,000008,DynamicActor::m135
0x0000007100000a74,U,000008,Actor::getLifeRecoverInfo
0x0000007100000a7c,U,000008,Actor::m137
0x0000007100000a84,U,000008,Actor::m138
0x0000007100000a8c,U,000008,Actor::m140
0x0000007100000a94,U,000008,Actor::m141
0x0000007100000a9c,U,000008,Actor::m142
0x0000007100000aa4,U,000004,Actor::m145n
0x0000007100000aa8,U,000008,Actor::m146
0x0000007100000ab0,U,000004,Actor::m147n
0x0000007100000ab4,U,000008,DynamicActor::m148
0x0000007100000abc,U,000004,DynamicActor::m149_null
0x0000007100000ac0,U,000004,DynamicActor::m150_null
0x0000007100000ac4,U,000008,DynamicActor::m151
0x0000007100000acc,U,000008,DynamicActor::m152
0x0000007100000ad4,U,000008,DynamicActor::m153
0x0000007100000adc,U,000008,DynamicActor::m154
0x0000007100000ae4,U,000008,DynamicActor::m155
0x0000007100000aec,U,000008,DynamicActor::m159
0x0000007100000af4,U,000004,DynamicActor::m161_null
0x0000007100000af8,U,000008,DynamicActor::m162
0x0000007100000b00,U,000068,
0x0000007100000b44,U,000076,
0x0000007100000b90,U,000068,
0x0000007100000bd4,U,000076,
0x0000007100000c20,U,000140,
0x0000007100000cac,U,000140,
0x0000007100000d38,O,000140,_ZNK4sead15RuntimeTypeInfo6DeriveIN4ksys3act8BaseProcEE9isDerivedEPKNS0_9InterfaceE
0x0000007100000dc4,O,000012,_ZNK4sead15RuntimeTypeInfo4Root9isDerivedEPKNS0_9InterfaceE
0x0000007100000dd0,U,000372,
0x0000007100000f44,U,000140,
0x0000007100000fd0,U,000088,
0x0000007100001028,U,000004,nullsub_25
0x000000710000102c,U,000016,
0x000000710000103c,U,000020,
0x0000007100001050,U,000144,
0x00000071000010e0,U,000464,
0x00000071000012b0,U,000108,Armor::construct
0x000000710000131c,U,000088,Armor::m22
0x0000007100001374,U,000600,Armor::m148
0x00000071000015cc,U,000196,Armor::m81
0x0000007100001690,U,000036,Armor::m1
0x00000071000016b4,U,000008,Armor::m2
0x00000071000016bc,U,000092,Armor::m3
0x0000007100001718,O,000004,_ZN4ksys3act8BaseProc11preDelete2_ERKNS1_12PreDeleteArgE
0x000000710000171c,U,000004,ArmorBase::m31
0x0000007100001720,U,000056,Actor::m36
0x0000007100001758,U,000008,Actor::m48
0x0000007100001760,U,000004,Actor::shouldUnload
